"MechanisticTarget","MT_NCIm_term","asid","aid","anm","acid","acnm","aeid","aenm"
"Not Annotated","Unannotated",11,400,"CLD_24hr",855,"CLD_ABCB11_24hr",1628,"CLD_ABCB11_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",871,"CLD_ABCB11_48hr",1644,"CLD_ABCB11_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",839,"CLD_ABCB11_6hr",1612,"CLD_ABCB11_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",856,"CLD_ABCG2_24hr",1629,"CLD_ABCG2_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",872,"CLD_ABCG2_48hr",1645,"CLD_ABCG2_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",840,"CLD_ABCG2_6hr",1613,"CLD_ABCG2_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",858,"CLD_CYP1A1_24hr",1631,"CLD_CYP1A1_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",874,"CLD_CYP1A1_48hr",1647,"CLD_CYP1A1_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",842,"CLD_CYP1A1_6hr",1615,"CLD_CYP1A1_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",859,"CLD_CYP1A2_24hr",1632,"CLD_CYP1A2_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",875,"CLD_CYP1A2_48hr",1648,"CLD_CYP1A2_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",843,"CLD_CYP1A2_6hr",1616,"CLD_CYP1A2_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",860,"CLD_CYP2B6_24hr",1633,"CLD_CYP2B6_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",876,"CLD_CYP2B6_48hr",1649,"CLD_CYP2B6_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",844,"CLD_CYP2B6_6hr",1617,"CLD_CYP2B6_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",861,"CLD_CYP2C19_24hr",1634,"CLD_CYP2C19_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",877,"CLD_CYP2C19_48hr",1650,"CLD_CYP2C19_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",845,"CLD_CYP2C19_6hr",1618,"CLD_CYP2C19_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",862,"CLD_CYP2C9_24hr",1635,"CLD_CYP2C9_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",878,"CLD_CYP2C9_48hr",1651,"CLD_CYP2C9_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",846,"CLD_CYP2C9_6hr",1619,"CLD_CYP2C9_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",863,"CLD_CYP3A4_24hr",1636,"CLD_CYP3A4_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",879,"CLD_CYP3A4_48hr",1652,"CLD_CYP3A4_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",847,"CLD_CYP3A4_6hr",1620,"CLD_CYP3A4_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",865,"CLD_GSTA2_24hr",1638,"CLD_GSTA2_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",881,"CLD_GSTA2_48hr",1654,"CLD_GSTA2_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",849,"CLD_GSTA2_6hr",1622,"CLD_GSTA2_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",866,"CLD_HMGCS2_24hr",1639,"CLD_HMGCS2_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",882,"CLD_HMGCS2_48hr",1655,"CLD_HMGCS2_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",850,"CLD_HMGCS2_6hr",1623,"CLD_HMGCS2_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",867,"CLD_SLCO1B1_24hr",1640,"CLD_SLCO1B1_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",883,"CLD_SLCO1B1_48hr",1656,"CLD_SLCO1B1_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",851,"CLD_SLCO1B1_6hr",1624,"CLD_SLCO1B1_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",868,"CLD_SULT2A_24hr",1641,"CLD_SULT2A_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",884,"CLD_SULT2A_48hr",1657,"CLD_SULT2A_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",852,"CLD_SULT2A_6hr",1625,"CLD_SULT2A_6hr"
"Not Annotated","Unannotated",11,400,"CLD_24hr",869,"CLD_UGT1A1_24hr",1642,"CLD_UGT1A1_24hr"
"Not Annotated","Unannotated",11,401,"CLD_48hr",885,"CLD_UGT1A1_48hr",1658,"CLD_UGT1A1_48hr"
"Not Annotated","Unannotated",11,399,"CLD_6hr",853,"CLD_UGT1A1_6hr",1626,"CLD_UGT1A1_6hr"
"Cell Viability","Cell Viability Process",21,574,"CPHEA_Stoker_NIS",1992,"CPHEA_Stoker_NIS_Cytotoxicity",2110,"CPHEA_Stoker_NIS_Cytotoxicity"
"Sodium/Iodide Cotransporter","Thyroid Hormone Generation",21,574,"CPHEA_Stoker_NIS",1919,"CPHEA_Stoker_NIS_Inhibition_RAIU",2037,"CPHEA_Stoker_NIS_Inhibition_RAIU"
"Unspecified","Unannotated",28,812,"ERF_ADME_hCYP2A6",2502,"ERF_ADME_hCYP2A6",2549,"ERF_ADME_hCYP2A6"
"Unspecified","Unannotated",28,816,"ERF_ADME_hCYP2B6",2503,"ERF_ADME_hCYP2B6",2550,"ERF_ADME_hCYP2B6"
"Unspecified","Unannotated",28,808,"ERF_ADME_hCYP2C19_CEC",2504,"ERF_ADME_hCYP2C19_CEC",2551,"ERF_ADME_hCYP2C19_CEC"
"Unspecified","Unannotated",28,728,"ERF_ADME_hCYP2C19_Omeprazole",2505,"ERF_ADME_hCYP2C19_Omeprazole",2552,"ERF_ADME_hCYP2C19_Omeprazole"
"Unspecified","Unannotated",28,821,"ERF_ADME_hCYP2C8",2506,"ERF_ADME_hCYP2C8",2553,"ERF_ADME_hCYP2C8"
"Unspecified","Unannotated",28,815,"ERF_ADME_hCYP2C9",2507,"ERF_ADME_hCYP2C9",2554,"ERF_ADME_hCYP2C9"
"Unspecified","Unannotated",28,743,"ERF_ADME_hCYP2E1",2508,"ERF_ADME_hCYP2E1",2555,"ERF_ADME_hCYP2E1"
"Unspecified","Unannotated",28,809,"ERF_ADME_hCYP3A4",2509,"ERF_ADME_hCYP3A4",2556,"ERF_ADME_hCYP3A4"
"Unspecified","Unannotated",28,711,"ERF_ENZ_bPDE1",2510,"ERF_ENZ_bPDE1",2557,"ERF_ENZ_bPDE1"
"Unspecified","Unannotated",28,791,"ERF_ENZ_hABL1",2511,"ERF_ENZ_hABL1",2558,"ERF_ENZ_hABL1"
"Unspecified","Unannotated",28,781,"ERF_ENZ_hAKT2",2512,"ERF_ENZ_hAKT2",2559,"ERF_ENZ_hAKT2"
"Unspecified","Unannotated",28,782,"ERF_ENZ_hAKT3",2513,"ERF_ENZ_hAKT3",2560,"ERF_ENZ_hAKT3"
"Unspecified","Unannotated",28,774,"ERF_ENZ_hAURKA",2514,"ERF_ENZ_hAURKA",2561,"ERF_ENZ_hAURKA"
"Unspecified","Unannotated",28,726,"ERF_ENZ_hBTK",2515,"ERF_ENZ_hBTK",2562,"ERF_ENZ_hBTK"
"Unspecified","Unannotated",28,780,"ERF_ENZ_hCDK2",2516,"ERF_ENZ_hCDK2",2563,"ERF_ENZ_hCDK2"
"Unspecified","Unannotated",28,719,"ERF_ENZ_hCHK1",2517,"ERF_ENZ_hCHK1",2564,"ERF_ENZ_hCHK1"
"Unspecified","Unannotated",28,692,"ERF_ENZ_hCHLE",2518,"ERF_ENZ_hCHLE",2565,"ERF_ENZ_hCHLE"
"Unspecified","Unannotated",28,793,"ERF_ENZ_hCSF1R",2519,"ERF_ENZ_hCSF1R",2566,"ERF_ENZ_hCSF1R"
"Unspecified","Unannotated",28,720,"ERF_ENZ_hCSNK1A1",2520,"ERF_ENZ_hCSNK1A1",2567,"ERF_ENZ_hCSNK1A1"
"Unspecified","Unannotated",28,722,"ERF_ENZ_hCSNK1D",2521,"ERF_ENZ_hCSNK1D",2568,"ERF_ENZ_hCSNK1D"
"Unspecified","Unannotated",28,723,"ERF_ENZ_hCSNK2A1",2522,"ERF_ENZ_hCSNK2A1",2569,"ERF_ENZ_hCSNK2A1"
"Unspecified","Unannotated",28,698,"ERF_ENZ_hCYP19A1",2523,"ERF_ENZ_hCYP19A1",2570,"ERF_ENZ_hCYP19A1"
"Unspecified","Unannotated",28,703,"ERF_ENZ_hDUSP3",2524,"ERF_ENZ_hDUSP3",2571,"ERF_ENZ_hDUSP3"
"Unspecified","Unannotated",28,766,"ERF_ENZ_hDYRK1A",2525,"ERF_ENZ_hDYRK1A",2572,"ERF_ENZ_hDYRK1A"
"Unspecified","Unannotated",28,768,"ERF_ENZ_hEGFR",2526,"ERF_ENZ_hEGFR",2573,"ERF_ENZ_hEGFR"
"Unspecified","Unannotated",28,729,"ERF_ENZ_hELANE",2527,"ERF_ENZ_hELANE",2574,"ERF_ENZ_hELANE"
"Unspecified","Unannotated",28,731,"ERF_ENZ_hEPHA1",2528,"ERF_ENZ_hEPHA1",2575,"ERF_ENZ_hEPHA1"
"Unspecified","Unannotated",28,790,"ERF_ENZ_hEPHA2",2529,"ERF_ENZ_hEPHA2",2576,"ERF_ENZ_hEPHA2"
"Unspecified","Unannotated",28,789,"ERF_ENZ_hEPHB2",2530,"ERF_ENZ_hEPHB2",2577,"ERF_ENZ_hEPHB2"
"Unspecified","Unannotated",28,770,"ERF_ENZ_hFGFR1",2531,"ERF_ENZ_hFGFR1",2578,"ERF_ENZ_hFGFR1"
"Unspecified","Unannotated",28,775,"ERF_ENZ_hFGFR3",2532,"ERF_ENZ_hFGFR3",2579,"ERF_ENZ_hFGFR3"
"Unspecified","Unannotated",28,792,"ERF_ENZ_hFLT1",2533,"ERF_ENZ_hFLT1",2580,"ERF_ENZ_hFLT1"
"Unspecified","Unannotated",28,776,"ERF_ENZ_hFLT4",2534,"ERF_ENZ_hFLT4",2581,"ERF_ENZ_hFLT4"
"Unspecified","Unannotated",28,747,"ERF_ENZ_hFYN",2535,"ERF_ENZ_hFYN",2582,"ERF_ENZ_hFYN"
"Unspecified","Unannotated",28,773,"ERF_ENZ_hGSK3b",2536,"ERF_ENZ_hGSK3b",2583,"ERF_ENZ_hGSK3b"
"Histone Modification","Histone Modification",28,756,"ERF_ENZ_hHDAC6",2537,"ERF_ENZ_hHDAC6",2584,"ERF_ENZ_hHDAC6"
"Unspecified","Unannotated",28,784,"ERF_ENZ_hIRAK4",2538,"ERF_ENZ_hIRAK4",2585,"ERF_ENZ_hIRAK4"
"Unspecified","Unannotated",28,771,"ERF_ENZ_hJAK2",2539,"ERF_ENZ_hJAK2",2586,"ERF_ENZ_hJAK2"
"Unspecified","Unannotated",28,767,"ERF_ENZ_hKDR",2540,"ERF_ENZ_hKDR",2587,"ERF_ENZ_hKDR"
"Unspecified","Unannotated",28,778,"ERF_ENZ_hLCK",2541,"ERF_ENZ_hLCK",2588,"ERF_ENZ_hLCK"
"Unspecified","Unannotated",28,750,"ERF_ENZ_hLYN",2542,"ERF_ENZ_hLYN",2589,"ERF_ENZ_hLYN"
"Monoamine Oxidase Activity Modulation","Monoamine Oxidase Activity ",28,732,"ERF_ENZ_hMAOA",2543,"ERF_ENZ_hMAOA",2590,"ERF_ENZ_hMAOA"
"Monoamine Oxidase Activity Modulation","Monoamine Oxidase Activity ",28,800,"ERF_ENZ_hMAOB",2544,"ERF_ENZ_hMAOB",2591,"ERF_ENZ_hMAOB"
"Unspecified","Unannotated",28,772,"ERF_ENZ_hMAPK1",2545,"ERF_ENZ_hMAPK1",2592,"ERF_ENZ_hMAPK1"
"Unspecified","Unannotated",28,701,"ERF_ENZ_hMAPK11",2546,"ERF_ENZ_hMAPK11",2593,"ERF_ENZ_hMAPK11"
"Unspecified","Unannotated",28,799,"ERF_ENZ_hMAPKAPK2",2547,"ERF_ENZ_hMAPKAPK2",2594,"ERF_ENZ_hMAPKAPK2"
"Unspecified","Unannotated",28,725,"ERF_ENZ_hMAPKAPK5",2548,"ERF_ENZ_hMAPKAPK5",2595,"ERF_ENZ_hMAPKAPK5"
"Unspecified","Unannotated",28,796,"ERF_ENZ_hMARK1",2549,"ERF_ENZ_hMARK1",2596,"ERF_ENZ_hMARK1"
"Unspecified","Unannotated",28,769,"ERF_ENZ_hMET",2550,"ERF_ENZ_hMET",2597,"ERF_ENZ_hMET"
"Unspecified","Unannotated",28,823,"ERF_ENZ_hMMP3",2551,"ERF_ENZ_hMMP3",2598,"ERF_ENZ_hMMP3"
"Unspecified","Unannotated",28,824,"ERF_ENZ_hMMP9",2552,"ERF_ENZ_hMMP9",2599,"ERF_ENZ_hMMP9"
"Unspecified","Unannotated",28,805,"ERF_ENZ_hMSK1",2553,"ERF_ENZ_hMSK1",2600,"ERF_ENZ_hMSK1"
"Unspecified","Unannotated",28,785,"ERF_ENZ_hNEK2",2554,"ERF_ENZ_hNEK2",2601,"ERF_ENZ_hNEK2"
"Unspecified","Unannotated",28,777,"ERF_ENZ_hNTRK1",2555,"ERF_ENZ_hNTRK1",2602,"ERF_ENZ_hNTRK1"
"Unspecified","Unannotated",28,797,"ERF_ENZ_hPAK4",2556,"ERF_ENZ_hPAK4",2603,"ERF_ENZ_hPAK4"
"Unspecified","Unannotated",28,813,"ERF_ENZ_hPDE10A",2557,"ERF_ENZ_hPDE10A",2604,"ERF_ENZ_hPDE10A"
"Unspecified","Unannotated",28,811,"ERF_ENZ_hPDE4A",2558,"ERF_ENZ_hPDE4A",2605,"ERF_ENZ_hPDE4A"
"Unspecified","Unannotated",28,712,"ERF_ENZ_hPDE4D2",2559,"ERF_ENZ_hPDE4D2",2606,"ERF_ENZ_hPDE4D2"
"Unspecified","Unannotated",28,702,"ERF_ENZ_hPKD2",2560,"ERF_ENZ_hPKD2",2607,"ERF_ENZ_hPKD2"
"Unspecified","Unannotated",28,705,"ERF_ENZ_hPRKAA1",2561,"ERF_ENZ_hPRKAA1",2608,"ERF_ENZ_hPRKAA1"
"Unspecified","Unannotated",28,727,"ERF_ENZ_hPRKACA",2562,"ERF_ENZ_hPRKACA",2609,"ERF_ENZ_hPRKACA"
"Unspecified","Unannotated",28,730,"ERF_ENZ_hPRKCZ",2563,"ERF_ENZ_hPRKCZ",2610,"ERF_ENZ_hPRKCZ"
"Unspecified","Unannotated",28,733,"ERF_ENZ_hPTEN",2564,"ERF_ENZ_hPTEN",2611,"ERF_ENZ_hPTEN"
"Unspecified","Unannotated",28,817,"ERF_ENZ_hPTGS2",2565,"ERF_ENZ_hPTGS2",2612,"ERF_ENZ_hPTGS2"
"Unspecified","Unannotated",28,704,"ERF_ENZ_hPTPN11",2566,"ERF_ENZ_hPTPN11",2613,"ERF_ENZ_hPTPN11"
"Unspecified","Unannotated",28,706,"ERF_ENZ_hPTPRB",2567,"ERF_ENZ_hPTPRB",2614,"ERF_ENZ_hPTPRB"
"Unspecified","Unannotated",28,734,"ERF_ENZ_hPTPRF",2568,"ERF_ENZ_hPTPRF",2615,"ERF_ENZ_hPTPRF"
"Unspecified","Unannotated",28,735,"ERF_ENZ_hPTPRM",2569,"ERF_ENZ_hPTPRM",2616,"ERF_ENZ_hPTPRM"
"Unspecified","Unannotated",28,724,"ERF_ENZ_hRAF1",2570,"ERF_ENZ_hRAF1",2617,"ERF_ENZ_hRAF1"
"Unspecified","Unannotated",28,798,"ERF_ENZ_hROCK1",2571,"ERF_ENZ_hROCK1",2618,"ERF_ENZ_hROCK1"
"Unspecified","Unannotated",28,783,"ERF_ENZ_hSGK1",2572,"ERF_ENZ_hSGK1",2619,"ERF_ENZ_hSGK1"
"Unspecified","Unannotated",28,761,"ERF_ENZ_hSIRT3",2573,"ERF_ENZ_hSIRT3",2620,"ERF_ENZ_hSIRT3"
"Unspecified","Unannotated",28,779,"ERF_ENZ_hSRC",2574,"ERF_ENZ_hSRC",2621,"ERF_ENZ_hSRC"
"Unspecified","Unannotated",28,765,"ERF_ENZ_hSYK",2575,"ERF_ENZ_hSYK",2622,"ERF_ENZ_hSYK"
"Unspecified","Unannotated",28,832,"ERF_ENZ_hZAP70",2576,"ERF_ENZ_hZAP70",2623,"ERF_ENZ_hZAP70"
"Unspecified","Unannotated",28,786,"ERF_ENZ_rACFSK_Agonist",2577,"ERF_ENZ_rACFSK_Agonist",2624,"ERF_ENZ_rACFSK_Agonist"
"Unspecified","Unannotated",28,787,"ERF_ENZ_rACFSK_Antagonist ",2578,"ERF_ENZ_rACFSK_Antagonist",2625,"ERF_ENZ_rACFSK_Antagonist"
"Serotonin Receptor Modulation ","Serotonin Receptor Signaling Pathway ",28,764,"ERF_GPCR_g5HT4",2579,"ERF_GPCR_binding_g5HT4",2626,"ERF_GPCR_binding_g5HT4"
"Unspecified","Unannotated",28,746,"ERF_GPCR_gANPA",2580,"ERF_GPCR_binding_gANPA",2627,"ERF_GPCR_binding_gANPA"
"Adenosine Receptor Modulation","G Protein-coupled Adenosine Receptor Activity",28,820,"ERF_GPCR_hADORA1",2581,"ERF_GPCR_binding_hADORA1",2628,"ERF_GPCR_binding_hADORA1"
"Adenosine Receptor Modulation","G Protein-coupled Adenosine Receptor Activity",28,810,"ERF_GPCR_hADORA2A",2582,"ERF_GPCR_binding_hADORA2A",2629,"ERF_GPCR_binding_hADORA2A"
"Adrenergic Receptor Modulation","Adrenergic Receptor Signaling Pathway",28,753,"ERF_GPCR_hADRA1A",2583,"ERF_GPCR_binding_hADRA1A",2630,"ERF_GPCR_binding_hADRA1A"
"Adrenergic Receptor Modulation","Adrenergic Receptor Signaling Pathway",28,738,"ERF_GPCR_hADRA2A",2584,"ERF_GPCR_binding_hADRA2A",2631,"ERF_GPCR_binding_hADRA2A"
"Adrenergic Receptor Modulation","Adrenergic Receptor Signaling Pathway",28,739,"ERF_GPCR_hADRA2C",2585,"ERF_GPCR_binding_hADRA2C",2632,"ERF_GPCR_binding_hADRA2C"
"Adrenergic Receptor Modulation","Adrenergic Receptor Signaling Pathway",28,740,"ERF_GPCR_hADRB1",2586,"ERF_GPCR_binding_hADRB1",2633,"ERF_GPCR_binding_hADRB1"
"Adrenergic Receptor Modulation","Adrenergic Receptor Signaling Pathway",28,736,"ERF_GPCR_hADRB2",2587,"ERF_GPCR_binding_hADRB2",2634,"ERF_GPCR_binding_hADRB2"
"Adrenergic Receptor Modulation","Adrenergic Receptor Signaling Pathway",28,741,"ERF_GPCR_hADRB3",2588,"ERF_GPCR_binding_hADRB3",2635,"ERF_GPCR_binding_hADRB3"
"Unspecified","Unannotated",28,744,"ERF_GPCR_hAGTR1",2589,"ERF_GPCR_binding_hAGTR1",2636,"ERF_GPCR_binding_hAGTR1"
"Unspecified","Unannotated",28,745,"ERF_GPCR_hAGTR2",2590,"ERF_GPCR_binding_hAGTR2",2637,"ERF_GPCR_binding_hAGTR2"
"Unspecified","Unannotated",28,714,"ERF_GPCR_hAVPR1A",2591,"ERF_GPCR_binding_hAVPR1A",2638,"ERF_GPCR_binding_hAVPR1A"
"Unspecified","Unannotated",28,795,"ERF_GPCR_hBDKRB2",2592,"ERF_GPCR_binding_hBDKRB2",2639,"ERF_GPCR_binding_hBDKRB2"
"Unspecified","Unannotated",28,748,"ERF_GPCR_hCCKAR",2593,"ERF_GPCR_binding_hCCKAR",2640,"ERF_GPCR_binding_hCCKAR"
"Unspecified","Unannotated",28,814,"ERF_GPCR_hCCKBR",2594,"ERF_GPCR_binding_hCCKBR",2641,"ERF_GPCR_binding_hCCKBR"
"Muscarinic Acetylcholine Receptor Modulation","Acetylcholine Receptor Signaling Pathway",28,835,"ERF_GPCR_hCHRM1",2595,"ERF_GPCR_binding_hCHRM1",2642,"ERF_GPCR_binding_hCHRM1"
"Muscarinic Acetylcholine Receptor Modulation","Acetylcholine Receptor Signaling Pathway",28,836,"ERF_GPCR_hCHRM2",2596,"ERF_GPCR_binding_hCHRM2",2643,"ERF_GPCR_binding_hCHRM2"
"Muscarinic Acetylcholine Receptor Modulation","Acetylcholine Receptor Signaling Pathway",28,837,"ERF_GPCR_hCHRM3",2597,"ERF_GPCR_binding_hCHRM3",2644,"ERF_GPCR_binding_hCHRM3"
"Muscarinic Acetylcholine Receptor Modulation","Acetylcholine Receptor Signaling Pathway",28,838,"ERF_GPCR_hCHRM4",2598,"ERF_GPCR_binding_hCHRM4",2645,"ERF_GPCR_binding_hCHRM4"
"Muscarinic Acetylcholine Receptor Modulation","Acetylcholine Receptor Signaling Pathway",28,839,"ERF_GPCR_hCHRM5",2599,"ERF_GPCR_binding_hCHRM5",2646,"ERF_GPCR_binding_hCHRM5"
"Unspecified","Unannotated",28,833,"ERF_GPCR_hCYSLTR1",2600,"ERF_GPCR_binding_hCYSLTR1",2647,"ERF_GPCR_binding_hCYSLTR1"
"Dopamine Receptor Modulation","Dopamine Receptor Signaling Pathway",28,819,"ERF_GPCR_hDRD1",2601,"ERF_GPCR_binding_hDRD1",2648,"ERF_GPCR_binding_hDRD1"
"Dopamine Receptor Modulation","Dopamine Receptor Signaling Pathway",28,708,"ERF_GPCR_hDRD2",2602,"ERF_GPCR_binding_hDRD2",2649,"ERF_GPCR_binding_hDRD2"
"Dopamine Receptor Modulation","Dopamine Receptor Signaling Pathway",28,749,"ERF_GPCR_hDRD4",2603,"ERF_GPCR_binding_hDRD4",2650,"ERF_GPCR_binding_hDRD4"
"Unspecified","Unannotated",28,826,"ERF_GPCR_hGALR1",2604,"ERF_GPCR_binding_hGALR1",2651,"ERF_GPCR_binding_hGALR1"
"Histamine Receptor Modulation","Histamine Receptor Activity",28,834,"ERF_GPCR_hHRH1",2605,"ERF_GPCR_binding_hHRH1",2652,"ERF_GPCR_binding_hHRH1"
"Serotonin Receptor Modulation ","Serotonin Receptor Signaling Pathway ",28,700,"ERF_GPCR_hHTR1A",2606,"ERF_GPCR_binding_hHTR1A",2653,"ERF_GPCR_binding_hHTR1A"
"Serotonin Receptor Modulation ","Serotonin Receptor Signaling Pathway ",28,707,"ERF_GPCR_hHTR5A",2607,"ERF_GPCR_binding_hHTR5A",2654,"ERF_GPCR_binding_hHTR5A"
"Serotonin Receptor Modulation ","Serotonin Receptor Signaling Pathway ",28,709,"ERF_GPCR_hHTR6",2608,"ERF_GPCR_binding_hHTR6",2655,"ERF_GPCR_binding_hHTR6"
"Serotonin Receptor Modulation ","Serotonin Receptor Signaling Pathway ",28,710,"ERF_GPCR_hHTR7",2609,"ERF_GPCR_binding_hHTR7",2656,"ERF_GPCR_binding_hHTR7"
"Unspecified","Unannotated",28,757,"ERF_GPCR_hLTB4R",2610,"ERF_GPCR_binding_hLTB4R",2657,"ERF_GPCR_binding_hLTB4R"
"Unspecified","Unannotated",28,693,"ERF_GPCR_hNPY1R",2611,"ERF_GPCR_binding_hNPY1R",2658,"ERF_GPCR_binding_hNPY1R"
"Unspecified","Unannotated",28,694,"ERF_GPCR_hNPY2R",2612,"ERF_GPCR_binding_hNPY2R",2659,"ERF_GPCR_binding_hNPY2R"
"Unspecified","Unannotated",28,695,"ERF_GPCR_hNTSR1",2613,"ERF_GPCR_binding_hNTSR1",2660,"ERF_GPCR_binding_hNTSR1"
"Unspecified","Unannotated",28,696,"ERF_GPCR_hOPRD1",2614,"ERF_GPCR_binding_hOPRD1",2661,"ERF_GPCR_binding_hOPRD1"
"Unspecified","Unannotated",28,803,"ERF_GPCR_hOPRL1",2615,"ERF_GPCR_binding_hOPRL1",2662,"ERF_GPCR_binding_hOPRL1"
"Unspecified","Unannotated",28,697,"ERF_GPCR_hOPRM1",2616,"ERF_GPCR_binding_hOPRM1",2663,"ERF_GPCR_binding_hOPRM1"
"Unspecified","Unannotated",28,807,"ERF_GPCR_hOXTR",2617,"ERF_GPCR_binding_hOXTR",2664,"ERF_GPCR_binding_hOXTR"
"Unspecified","Unannotated",28,759,"ERF_GPCR_hTACR1",2618,"ERF_GPCR_binding_hTACR1",2665,"ERF_GPCR_binding_hTACR1"
"Unspecified","Unannotated",28,760,"ERF_GPCR_hTACR2",2619,"ERF_GPCR_binding_hTACR2",2666,"ERF_GPCR_binding_hTACR2"
"Unspecified","Unannotated",28,713,"ERF_GPCR_hVIPR1",2620,"ERF_GPCR_binding_hVIPR1",2667,"ERF_GPCR_binding_hVIPR1"
"Unspecified","Unannotated",28,806,"ERF_GPCR_rGHB",2621,"ERF_GPCR_binding_rGHB",2668,"ERF_GPCR_binding_rGHB"
"Unspecified","Unannotated",28,699,"ERF_GPCR_rPY2",2622,"ERF_GPCR_binding_rPY2",2669,"ERF_GPCR_binding_rPY2"
"Neurotransmission","Other Neurotransmission",28,715,"ERF_IC_rCACNA1C_Dihydropyridine",2623,"ERF_IC_binding_rCACNA1C_Dihydropyridine",2670,"ERF_IC_binding_rCACNA1C_Dihydropyridine"
"Neurotransmission","Other Neurotransmission",28,716,"ERF_IC_rCACNA1C_Diltiazem",2624,"ERF_IC_binding_rCACNA1C_Diltiazem",2671,"ERF_IC_binding_rCACNA1C_Diltiazem"
"Unspecified","Unannotated",28,717,"ERF_IC_rKCNJ1",2625,"ERF_IC_binding_rKCNJ1",2672,"ERF_IC_binding_rKCNJ1"
"Voltage-gated Calcium Channel Activity Modulation","Ion Channel Activity",28,718,"ERF_IC_rKCNN1 ",2626,"ERF_IC_binding_rKCNN1 ",2673,"ERF_IC_binding_rKCNN1 "
"Neurotransmission","Other Neurotransmission",28,721,"ERF_IC_rSCN1A",2627,"ERF_IC_binding_rSCN1A",2674,"ERF_IC_binding_rSCN1A"
"Gamma-aminobutyric Acid Receptor Modulation","Gamma-Aminobutyric Acid Signaling Pathway",28,788,"ERF_LGIC_hGABRA1",2628,"ERF_LGIC_binding_hGABRA1",2675,"ERF_LGIC_binding_hGABRA1"
"Unspecified","Unannotated",28,831,"ERF_LGIC_rGLRA1",2629,"ERF_LGIC_binding_rGLRA1",2676,"ERF_LGIC_binding_rGLRA1"
"Unspecified","Unannotated",28,827,"ERF_LGIC_rGRIA1",2630,"ERF_LGIC_binding_rGRIA1",2677,"ERF_LGIC_binding_rGRIA1"
"Unspecified","Unannotated",28,830,"ERF_LGIC_rGRIK1",2631,"ERF_LGIC_binding_rGRIK1",2678,"ERF_LGIC_binding_rGRIK1"
"Unspecified","Unannotated",28,752,"ERF_LGIC_rGRIN1",2632,"ERF_LGIC_binding_rGRIN1",2679,"ERF_LGIC_binding_rGRIN1"
"Cholesterol Transport","Cholesterol Transport",28,804,"ERF_MP_hTSPO",2633,"ERF_MP_binding_hTSPO",2680,"ERF_MP_binding_hTSPO"
"Androgen Receptor Modulation","Androgen Metabolic Process",28,742,"ERF_NR_hAR",2634,"ERF_NR_binding_hAR",2681,"ERF_NR_binding_hAR"
"Unspecified","Unannotated",28,794,"ERF_NR_hFXR_Antagonist",2635,"ERF_NR_binding_hFXR_Antagonist",2682,"ERF_NR_binding_hFXR_Antagonist"
"Glucocorticoid Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",28,822,"ERF_NR_hGR",2636,"ERF_NR_binding_hGR",2683,"ERF_NR_binding_hGR"
"Serotonin Receptor Modulation ","Serotonin Receptor Signaling Pathway ",28,763,"ERF_NR_hHTR2C",2637,"ERF_NR_binding_hHTR2C",2684,"ERF_NR_binding_hHTR2C"
