,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid,aid,assay_component_name,assay_component_desc,assay_component_target_desc,parameter_readout_type,assay_design_type,assay_design_type_sub,biological_process_target,detection_technology_type,detection_technology_type_sub,detection_technology,key_assay_reagent_type,key_assay_reagent,technological_target_type,technological_target_type_sub,asid,assay_name,assay_desc,timepoint_hr,organism_id,organism,tissue,cell_format,cell_free_component_source,cell_short_name,cell_growth_mode,assay_footprint,assay_format_type,assay_format_type_sub,content_readout_type,dilution_solvent,dilution_solvent_percent_max,fate,n_valid_hitcall_c,n_hitcall_c_hit,n_hitcall_c_nohit
924,1991,1895,ATG_chAR_XSP2,1,1,"The assay endpoint ATG_chAR_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene AR. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,steroidal,0,0,1,192,150,571,ATG_chAR_XSP2,"ATG_chAR_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element AR, which is responsive to the chicken androgen receptor. [GeneSymbol:ar | GeneID:422165| Uniprot_SwissProt_Accession:Q2ACE0].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-chAR RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,163.0,17.0,146.0
925,1993,1896,ATG_frER1_XSP2,1,1,"The assay endpoint ATG_frER1_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ER. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,steroidal,0,0,1,192,150,571,ATG_frER1_XSP2,"ATG_frER1_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element ER, which is responsive to the frog estrogen receptor. [GeneSymbol:esr1.L | GeneID: 398734 | Uniprot_SwissProt_Accession:Q6W5G7].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-frER1 RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,172.0,74.0,98.0
928,1999,1899,ATG_zfER2b_XSP2,1,1,"The assay endpoint ATG_zfER2b_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ER. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,steroidal,0,0,1,192,150,571,ATG_zfER2b_XSP2,"ATG_zfER2b_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element ER, which is responsive to the zebrafish estrogen receptor. [GeneSymbol:esr2b | GeneID: 317733| Uniprot_SwissProt_Accession:Q5PR29].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-zfER2b RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,147.0,109.0,38.0
929,2001,1900,ATG_hERa_XSP2,1,1,"The assay endpoint ATG_hERa_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ER. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,steroidal,0,0,1,192,150,571,ATG_hERa_XSP2,"ATG_hERa_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element ER, which is responsive to the human estrogen receptor. [GeneSymbol:ESR1 | GeneID: 2099| Uniprot_SwissProt_Accession:P03372].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-ERa RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,163.0,110.0,53.0
932,2007,1903,ATG_frER2_XSP2,1,1,"The assay endpoint ATG_frER2_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ER. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,steroidal,0,0,1,192,150,571,ATG_frER2_XSP2,"ATG_frER2_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element ER, which is responsive to the frog estrogen receptor. [GeneSymbol:esr2.L | GeneID: 100174814| Uniprot_SwissProt_Accession:A0A1L8FA50].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-frER2 RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,160.0,85.0,75.0
933,2009,1904,ATG_mPPARg_XSP2,1,1,"The assay endpoint ATG_mPPARg_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PPARg. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,192,150,571,ATG_mPPARg_XSP2,"ATG_mPPARg_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element PPARg, which is responsive to the mouse peroxisome proliferator activated receptor gamma. [GeneSymbol:Pparg | GeneID: 19016| Uniprot_SwissProt_Accession:P37238].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-mPPARg RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,165.0,94.0,71.0
934,2011,1905,ATG_zfPPARg_XSP2,1,1,"The assay endpoint ATG_zfPPARg_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PPARg. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,192,150,571,ATG_zfPPARg_XSP2,"ATG_zfPPARg_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element PPARg, which is responsive to the zebrafish peroxisome proliferator activated receptor gamma. [GeneSymbol: pparg | GeneID: 557037| Uniprot_SwissProt_Accession:A6XMH6].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-zfPPARg RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,180.0,18.0,162.0
935,2013,1906,ATG_hPPARg_XSP2,1,1,"The assay endpoint ATG_hPPARg_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PPARg. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,192,150,571,ATG_hPPARg_XSP2,"ATG_hPPARg_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element PPARg, which is responsive to the human peroxisome proliferator activated receptor gamma. [GeneSymbol:PPARG | GeneID: 5468| Uniprot_SwissProt_Accession:P37231].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-PPARg RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,169.0,91.0,78.0
936,2015,1907,ATG_mPXR_XSP2,1,1,"The assay endpoint ATG_mPXR_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PXR. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,192,150,571,ATG_mPXR_XSP2,"ATG_mPXR_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element PXR, which is responsive to the mouse pregnane X receptor. [GeneSymbol: NR1IA | GeneID: 8856| Uniprot_SwissProt_Accession:O75469].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,161.0,82.0,79.0
937,2017,1908,ATG_trTRa_XSP2,1,1,"The assay endpoint ATG_trTRa_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene TR. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,192,150,571,ATG_trTRa_XSP2,"ATG_trTRa_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element TRa, which is responsive to the turtle thyroid hormone receptor, alpha. [GeneSymbol: THRA | GeneID: 101949057| Uniprot_SwissProt_Accession: NA].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-trTRa RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,172.0,18.0,154.0
938,2019,1909,ATG_zfTRa_XSP2,1,1,"The assay endpoint ATG_zfTRa_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene TR. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,192,150,571,ATG_zfTRa_XSP2,"ATG_zfTRa_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element TRa, which is responsive to the zebrafish thyroid hormone receptor, alpha a. [GeneSymbol: thraa | GeneID: 30670| Uniprot_SwissProt_Accession: Q98867].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-zfTRa RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,180.0,16.0,164.0
939,2021,1910,ATG_zfTRb_XSP2,1,1,"The assay endpoint ATG_zfTRb_XSP2 was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene TR. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay  endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,192,150,571,ATG_zfTRb_XSP2,"ATG_zfTRb_XSP2 is one of 29 assay components measured or calculated from the ATG_XSP2_multi-species_TRANS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.","Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the trans-acting reporter gene response element TRa, which is responsive to the zebrafish thyroid hormone receptor, beta. [GeneSymbol: thrb | GeneID: 30607| Uniprot_SwissProt_Accession: Q9PVE4].",single,inducible reporter,mRNA induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,RT-PCR and Capillary electrophoresis,inducer,gal4-zfTRb RTU,rna,mRNA,3,ATG_XSP2_multi-species_TRANS,"ATG_XSP2_multi-species_TRANS is a cell-based, multiplexed assay created by modifying the existing Attagene TRANS-FACTORIAL system to include a panel of nuclear receptors from some or all the following species:  human (Homo sapiens), mouse (Mus musculus), frog (Xenopus laevis), zebrafish (Danio rerio), chicken (Gallus gallus), and turtle (Chrysemys picta). The ECOTOX-FACTORIAL format uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate. Xsp2 included 3 nM 6-alpha-fluorotestosterone and 1.5 nM norgestrel to stimulate the androgen receptor.",24.0,9606.0,human,liver,cell line,,HepG2,adherent,microplate: 24-well plate,cell-based,cell-based format,multiplexed,DMSO,1.0,Selected assays,177.0,14.0,163.0
